Node,Class
2,2
17,4
21,1
24,2
29,2
30,1
35,1
42,2
48,4
49,4
53,1
55,4
57,4
58,2
62,3
64,3
66,4
67,1
68,3
69,1
71,1
76,1
77,4
78,4
82,4
86,4
91,4
94,2
95,1
96,4
98,1
105,2
107,4
113,4
114,4
115,3
122,4
127,4
128,1
131,3
132,4
133,1
135,3
146,2
149,1
153,4
157,4
158,2
159,2
163,1
164,1
165,4
168,3
169,4
179,4
181,4
183,2
188,4
191,4
198,4
199,3
209,1
211,1
214,4
215,4
216,3
219,4
221,3
222,3
224,1
231,4
234,4
235,4
240,3
241,4
242,1
257,1
258,1
268,4
270,3
271,2
274,4
277,1
286,4
289,1
294,1
298,1
302,4
304,4
311,2
314,1
315,2
321,3
323,3
324,3
325,4
326,4
327,4
335,4
342,1
345,3
348,4
349,4
353,2
358,4
359,4
365,4
366,1
372,4
377,4
384,4
389,1
399,1
400,1
402,3
404,1
407,1
408,1
413,1
414,4
418,1
423,1
427,3
432,3
433,1
434,4
436,1
439,4
441,2
442,3
447,4
451,2
456,3
457,1
458,3
463,1
464,3
465,4
467,3
472,1
473,1
481,1
482,1
488,1
489,3
494,2
499,1
501,4
502,1
503,4
509,2
514,1
515,4
519,1
525,4
534,4
541,4
542,1
545,4
546,4
549,4
552,4
553,3
561,4
563,4
564,1
566,4
568,4
576,2
578,1
580,4
581,1
583,3
584,4
591,1
594,3
597,1
608,4
615,4
618,4
623,1
624,1
626,1
629,4
630,4
635,4
643,1
644,2
650,4
652,2
654,4
656,2
657,4
658,4
660,3
664,4
665,3
667,1
668,2
669,4
671,2
678,2
685,4
686,1
689,4
699,1
700,3
702,4
711,4
712,1
715,4
716,1
729,4
733,1
736,3
746,3
751,2
752,4
753,4
756,4
758,2
760,1
774,3
778,1
779,1
780,4
785,4
789,2
793,2
795,4
798,4
802,4
806,4
809,4
811,1
812,4
824,2
828,2
831,4
834,1
839,1
841,1
842,1
845,3
852,4
855,1
859,1
860,2
863,2
864,4
866,3
867,4
868,2
875,1
881,1
886,1
887,3
888,1
889,3
890,1
894,1
895,3
896,2
897,4
901,4
902,1
904,2
905,1
906,1
908,4
912,1
914,2
915,2
916,4
919,1
920,4
921,1
922,4
925,3
929,1
930,2
931,1
934,1
936,4
946,4
950,4
953,2
954,1
955,4
956,3
967,4
969,1
970,3
972,3
976,1
979,2
982,1
986,4
996,4
997,4
999,3
1001,4
1002,2
1006,3
1014,4
1016,1
1017,4
1020,3
1027,2
1029,1
1030,4
1036,4
1037,3
1048,4
1049,1
1051,4
1054,4
1061,2
1072,4
1074,1
1075,2
1077,2
1079,1
1081,1
1082,4
1084,2
1086,2
1087,4
1088,1
1089,4
1092,1
1095,3
1097,1
1101,4
1109,3
1112,2
1115,2
1116,3
1117,4
1124,1
1129,2
1131,4
1135,4
1136,2
1148,1
1155,3
1160,4
1161,3
1165,1
1166,1
1168,2
1169,2
1173,4
1174,3
1181,4
1183,4
1187,3
